tipo,limite,caratteri,testo
titolo,40,25,A che punto sei con l’AI?
titolo,40,26,AI Maturity Check gratuito
titolo,40,30,"16 domande, 5 minuti, un piano"
titolo,40,32,L’AI in azienda: da dove partire
titolo,40,28,"Piano AI a 90 giorni, gratis"
titolo,40,31,Scopri la maturità AI della PMI
titolo,40,32,Tre quick win nei prossimi 90 gg
titolo,40,30,"Dati, processi, marketing e AI"
titolo,40,29,AI: cosa conviene fare adesso
titolo,40,26,Il check AI per chi decide
titolo lungo,90,71,In 5 minuti scopri dove sei con l’AI e cosa fare nei prossimi 90 giorni
titolo lungo,90,83,"AI Maturity Check: 16 domande su dati, processi, marketing, competenze e governance"
titolo lungo,90,79,Non un altro strumento da comprare: un piano operativo per i prossimi 90 giorni
titolo lungo,90,83,Il check gratuito che trasforma le tue risposte in tre azioni concrete e misurabili
titolo lungo,90,77,Dove conviene davvero usare l’AI nella tua azienda? Scoprilo in cinque minuti
titolo lungo,90,86,"Formazione, workshop con le business unit, ROI e due agenti in produzione in 90 giorni"
descrizione,90,83,"Sedici domande, un punteggio su cinque assi e tre azioni realizzabili in 90 giorni."
descrizione,90,82,"Formazione, workshop con le business unit, ROI stimato e due agenti in produzione."
descrizione,90,77,Gratis e senza registrazione. Il report con la tua mappa ti arriva via email.
descrizione,90,78,"Dati, processi, marketing, competenze, governance: dove siete forti e dove no."
descrizione,90,74,"AI Act, GDPR e DSA compresi: sai cosa dovete documentare prima di partire."
descrizione,90,75,Nessun pilota da dimostrazione: solo quello che entra davvero nei processi.
nome azienda,25,13,Iside Systems
URL finale,,,https://www.isidesystems.com/ai-maturity
CTA,,,Scopri di più / Registrati
